Movie Name,Director,Year,Jump Count,Jump Scare Rating,Netflix (US),IMDB Rating,Primary Actor,Movie Rating,Duration
The Possession of Michael King,David Jung,2014,20,4,No,5.7,Shane Mikael Johnson,R ,83
The Quiet Ones,John Pogue,2014,23,4,No,5.7,Jared Harris,PG-13,97
Unfriended,Leo Gabriadze,2014,5,3,No,5.7,Shelley Hennig,R ,82
Dark Was The Night,Jack Heller,2014,16,3,No,5.6,Kevin Durand,NR,94
The Town That Dreaded Sundown,Alfonso Gomez-Rejon,2014,8,3,No,5.6,Denis O'Hare,R ,90
WolfCop,Lowell Dean,2014,0,0,No,5.5,Leo Fafard,NR,79
Annabelle,John R. Leonetti,2014,11,3.5,No,5.4,Annabelle Wallis,R ,98
Jessabelle,Kevin Greutert,2014,9,2,No,5.4,Sarah Snook,PG-13,90
The Amityville Horror,Stuart Rosenberg,1979,8,2.5,No,6,Ryan Reynolds,R ,89
Tusk,Kevin Smith,2014,0,0,Yes,5.4,Justin Long,R ,102
Fear Clinic,Robert Hall,2014,13,3,No,5.2,Robert Englund,R,95
Extraterrestrial,Colin Minihan,2014,30,4.5,No,5,Julin Villagrn,PG-13,90
The Woman in Black 2: Angel of Death,Tom Harper,2014,14,4,No,4.9,Phoebe Fox,PG-13,98
Honeymoon,Leigh Janiak,2014,3,0.5,No,4.7,Rose Leslie,R ,87
Ouija,Stiles White,2014,16,4,No,4.4,Olivia Cooke,PG-13,83
Devil’s Due,"Matt Bettinelli-Olpin, Tyler Gillett",2014,13,3,No,4.1,#N/A,R,89
Bone Tomahawk,S. Craig Zahler,2015,0,0,No,7.1,Kurt Russell,NR,133
Green Room,Jeremy Saulnier,2015,1,0.5,Yes,7.1,Anton Yelchin,R ,94
The Gift,Joel Edgerton,2015,5,1.5,No,7.1,Cate Blanchett,R ,112
Jurassic World,Colin Trevorrow,2015,5,2,No,7,Chris Pratt,PG-13,123
The Witch,Robert Eggers,2015,4,1.5,Yes,6.8,Anya Taylor-Joy,R ,92
Halloween 4: The Return of Michael Myers,Dwight H. Little,1988,6,2,No,5.9,Donald Pleasence,R ,88
The Invitation,Karyn Kusama,2015,5,1,Yes,6.7,Michiel Huisman,NR,100
The Final Girls,Todd Strauss-Schulson,2015,8,1.5,No,6.6,Nina Dobrev,PG-13,88
Crimson Peak,Guillermo del Toro,2015,9,2.5,No,6.5,Mia Wasikowska,R ,119
Carrie,Brian De Palma,1976,1,0.5,No,5.9,Chlo Grace Moretz,R ,99
Goosebumps,Rob Letterman,2015,10,2.5,No,6.4,Jack Black,PG ,103
Hidden,"Matt Duffer, Ross Duffer",2015,6,1.5,No,6.4,Alexander Skarsgård,R,84
The Devil’s Candy,Sean Byrne,2015,8,2,Yes,6.4,#N/A,R,79
Deathgasm,Jason Lei Howden,2015,7,2,No,6.3,Milo Cawthorne,NR,90
Krampus,Michael Dougherty,2015,10,2,No,6.2,Adam Scott,PG-13,98
The Visit,M. Night Shyamalan,2015,8,2.5,No,6.2,Olivia DeJonge,PG-13,94
Insidious: Chapter 3,Leigh Whannell,2015,15,4,No,6.1,Dermot Mulroney,PG-13,97
The Ones Below,David Farr,2015,0,0,Yes,6.1,David Morrissey,R ,86
The Boy,Craig Macneill,2015,1,0.5,No,6,David Morse,PG-13,105
They Look Like People,Perry Blackshear,2015,2,0.5,No,6,MacLeod Andrews,UNRATED,80
Victor Frankenstein,Paul McGuigan,2015,6,1.5,No,6,James McAvoy,PG-13,109
Backtrack,Michael Petroni,2015,14,3.5,No,5.9,Adrien Brody,R ,90
The Blackcoat’s Daughter,Osgood Perkins,2015,3,0.5,No,5.9,#N/A,R,93
Extinction,Miguel Ángel Vivas,2015,12,3,No,5.8,Matthew Fox,R ,110
Intruders,Adam Schindler,2015,4,1,No,5.7,Leticia Jimenez,R ,90
Regression,Alejandro Amenábar,2015,3,1,No,5.7,Ethan Hawke,R ,106
The Hallow,Corin Hardy,2015,18,3.5,No,5.7,Joseph Mawle,NOT RATED,97
We Are Still Here,Ted Geoghegan,2015,12,3,No,5.7,Barbara Crampton,NR,84
Maggie,Henry Hobson,2015,4,0.5,No,5.6,Arnold Schwarzenegger,PG-13,95
Cyberbully,Ben Chanan,2015,1,1,No,5.5,#N/A,R,97
Tales of Halloween,"Neil Marshall, Darren Lynn Bousman, Axelle Carolyn, Lucky McKee, Andrew Kasch, Paul Solet, John Skipp, Adam Gierasch, Jace Anderson, Mike Mendez, Ryan Schifrin, Dave Parker",2015,14,3,Yes,5.5,Adrienne Barbeau,R,92
The Atticus Institute,Chris Sparling,2015,13,3.5,No,5.5,Rya Kihlstedt,NOT RATED,83
Emelie,Michael Thelin,2015,3,0.5,Yes,5.4,Sarah Bolger,NR,80
Demonic,Will Canon,2015,17,4,Yes,5.3,Maria Bello,R,83
The House on Pine Street,"Aaron Keeling, Austin Keeling",2015,5,1,No,5.3,Emily Goss,0,111
Visions,Kevin Greutert,2015,10,3.5,No,5.3,Isla Fisher,R,82
Child’s Play,Tom Holland,1988,8,2.5,No,5.8,#N/A,R,90
Sinister 2,Ciarán Foy,2015,19,4,No,5.2,James Ransone,R ,97
Pay The Ghost,Uli Edel,2015,13,3,No,5.2,Nicolas Cage,NOT RATED,94
The Lazarus Effect,David Gelb,2015,18,4.5,No,5.2,Mark Duplass,PG-13,83
Dementia,Mike Testin,2015,0,0,No,5.1,Gene Jones,NOT RATED,90
Deep Dark,Michael Medaglia,2015,2,1,No,5,Sean McGrath,0,79
The Abandoned,Eytan Rockaway,2015,21,3.5,No,5,Louisa Krause,NR,88
Poltergeist – Extended Cut,Gil Kenan,2015,22,4,No,4.9,#N/A,R,93
Paranormal Activity: The Ghost Dimension,Gregory Plotkin,2015,29,4,No,4.6,Chris Murray,R ,97
Amnesiac,Michael Polish,2015,1,0.5,No,4.3,Kate Bosworth,NR,90
The Gallows,Travis Cluff & Chris Lofing,2015,21,4,No,4.2,Cassidy Gifford,R ,87
The Sand,Isaac Gabaeff,2015,0,0,No,3.8,Brooke Butler,TV-MA,84
Knock Knock,Eli Roth,2015,2,0.5,No,0,Keanu Reeves,R ,99
Poltergeist – Theatrical Cut,Gil Kenan,2015,21,4,No,0,#N/A,R,0
Arrival,Denis Villeneuve,2016,3,0.5,No,7.9,Amy Adams,PG-13,116
The Conjuring 2,James Wan,2016,22,5,No,7.8,Vera Farmiga,R ,133
The Wailing,Na Hong-jin,2016,4,1,Yes,7.7,Do-won Kwak,NOT RATED,156
Nocturnal Animals,Tom Ford,2016,1,1,No,7.5,Jake Gyllenhaal,R ,115
Train to Busan,Sang-ho Yeon,2016,4,1,Yes,7.5,Yoo Gong,NOT RATED,118
10 Cloverfield Lane,Dan Trachtenberg,2016,8,2.5,No,7.3,Mary Elizabeth Winstead,PG-13,90
Split,M. Night Shyamalan,2016,3,0.5,No,7.3,James McAvoy,PG-13,116
Don’t Breathe,Fede Alvarez,2016,17,3.5,No,7.1,#N/A,R,88
Elle,Paul Verhoeven,2016,7,2,No,7.1,Isabelle Huppert,R ,130
Nerve,"Henry Joost, Ariel Schulman",2016,1,0.5,No,7.1,Emma Roberts,PG-13,96
Raw,Julia Ducournau,2016,3,1,Yes,7,Garance Marillier,R ,98
Children of the Corn,Fritz Kiersch,1984,8,3,No,5.7,Peter Horton,R ,93
The Neon Demon,Nicolas Winding Refn,2016,2,0.5,No,7,Elle Fanning,R ,110
Under the Shadow,Babak Anvari,2016,9,3.5,Yes,7,Narges Rashidi,PG-13,84
Lights Out,David F. Sandberg,2016,19,4.5,No,6.9,Teresa Palmer,PG-13,81
The Autopsy of Jane Doe,André Øvredal,2016,12,3,Yes,6.8,Emile Hirsch,R ,99
The Shallows,Jaume Collet-Serra,2016,9,2.5,No,6.8,Blake Lively,PG-13,87
Better Watch Out,Chris Peckover,2016,11,2.5,No,6.7,Levi Miller,R ,99
The Girl with All the Gifts,Colm McCarthy,2016,3,1,No,6.7,Gemma Arterton,R ,110
Hounds of Love,Ben Young,2016,0,0,No,6.6,Emma Booth,NR,108
A Cure for Wellness,Gore Verbinski,2016,6,1.5,No,6.4,Dane DeHaan,R ,146
The 9th Life of Louis Drax,Alexandre Aja,2016,4,1,No,6.3,Jamie Dornan,R ,90
The Good Neighbor,Kasra Farahani,2016,7,2,Yes,6.3,James Caan,NR,98
The Limehouse Golem,Juan Carlos Medina,2016,0,0,No,6.3,Bill Nighy,NR,105
I Am Not a Serial Killer,Billy O’Brien,2016,3,1,No,6.2,Max Records,NR,104
Personal Shopper,Olivier Assayas,2016,4,0.5,No,6.2,Kristen Stewart,R,105
The Eyes of My Mother,Nicolas Pesce,2016,0,0,Yes,6.2,Kika Magalhaes,R ,77
The Love Witch,Anna Biller,2016,0,0,No,6.2,Samantha Robinson (VI),NR,120
Before I Wake,Mike Flanagan,2016,9,3,Yes,6.1,Kate Bosworth,PG-13,97
Lost Creek,Colin Adams-Toomey,2016,2,0.5,No,6.1,Brynna Bartoo,0,92
Ouija: Origin of Evil,Mike Flanagan,2016,18,4,No,6.1,Annalise Basso,PG-13,99
The Belko Experiment,Greg McLean,2016,8,2.5,No,6.1,John Gallagher Jr.,R ,82
The Purge: Election Year,James DeMonaco,2016,9,2.5,No,6.1,Frank Grillo,R ,105
The Boy,William Brent Bell,2016,11,3,Yes,6,David Morse,PG-13,105
Chopping Mall,Jim Wynorski,1986,5,1,No,5.6,#N/A,R,77
Prevenge,Alice Lowe,2016,0,0.5,No,5.9,Gemma Whelan,0,88
The Transfiguration,Michael O’Shea,2016,2,1,No,5.9,Eric Ruffin,NOT RATED,97
Morgan,Luke Scott,2016,3,0.5,No,5.8,Kate Mara,R ,92
Pride and Prejudice and Zombies,Burr Steers,2016,7,2,No,5.8,Lily James,PG-13,107
Trash Fire,Richard Bates Jr.,2016,0,0,Yes,5.8,Adrian Grenier,R,91
Pet,Carles Torrens,2016,2,1,No,5.7,Dominic Monaghan,R ,90
The Neighbor,Marcus Dunstan,2016,3,1,No,5.7,Alex Essoe,NR,87
Don’t Hang Up,"Damien Macé, Alexis Wajsbrot",2016,4,4,No,5.6,#N/A,R,83
Here Alone,Rod Blackhurst,2016,2,0.5,Yes,5.6,Lucy Walters,0,98
Resident Evil: The Final Chapter,Paul W.S. Anderson,2016,29,4.5,No,5.6,Milla Jovovich,R ,106
Friend Request,Simon Verhoeven,2016,21,4,Yes,5.4,Alycia Debnam-Carey,R ,92
The Monster,Bryan Bertino,2016,11,3,Yes,5.4,Zoe Kazan,R ,91
The Other Side of the Door,Johannes Roberts,2016,16,3.5,No,5.3,Sarah Wayne Callies,R ,96
Child Eater,Erlingur Óttar Thoroddsen,2016,8,2,No,5.2,Cait Bliss,0,82
Incarnate,Brad Peyton,2016,9,2.5,No,5.2,Aaron Eckhart,PG-13,Runtime Not Available
31,Rob Zombie,2016,8,2.5,No,5.1,Sheri Moon Zombie,R ,103
Don’t Knock Twice,Caradog W. James,2016,19,3.5,No,5.1,#N/A,R,93
Holidays,"Anthony Scott Burns,Kevin Kolsch, Nicholas McCarthy, Adam Egypt Mortimer, Ellen Reid, Gary Shore, Kevin Smith, Sarah Adina Smith, Scott Stewart, Dennis Widmyer",2016,5,2,Yes,5.1,Lorenza Izzo,NOT RATED,105
Blair Witch,Adam Wingard,2016,18,4,No,5,James Allen McCune,R ,89
A Nightmare on Elm Street 2: Freddy’s Revenge,Jack Sholder,1985,8,2,No,5.5,#N/A,R,87
The Forest,Jason Zada,2016,13,3.5,No,4.8,Natalie Dormer,PG-13,94
I Am the Pretty Thing That Lives in the House,Oz Perkins,2016,4,0.5,Yes,4.7,Ruth Wilson,NR,87
The Veil,Phil Joanou,2016,12,3,Yes,4.7,Jessica Alba,R,93
Viral,"Henry Joost, Ariel Schulman",2016,20,4,No,4.5,Sofia Black-D'Elia,R ,89
Cell,Tod Williams,2016,5,2,No,4.3,John Cusack,R ,98
My Bloody Valentine,George Mihalka,1981,11,2.5,No,5.5,Paul Kelman,R,91
The Void,"Jeremy Gillespie, Steven Kostanski",2016,8,2,Yes,4.3,Aaron Poole,NR,90
Restoration,Zack Ward,2016,10,3,No,4,Robert Downey Jr.,R,150
The Disappointments Room,D.J. Caruso,2016,9,2.5,Yes,3.9,Kate Beckinsale,R ,100
Hush,Mike Flanagan,2016,7,2.5,Yes,0,Jessica Lange,PG-13,96
Life,Daniel Espinosa,2017,8,2,No,8.3,Jake Gyllenhaal,R ,103
It,Andy Muschietti,2017,23,4,No,7.8,Clara Bow,NR,72
Terrifier,Damien Leone,2017,18,3.5,Yes,7.8,David Howard Thornton,NR,85
Get Out,Jordan Peele,2017,10,2.5,No,7.7,Daniel Kaluuya,R,104
The Shape of Water,Guillermo del Toro,2017,2,0.5,No,7.3,Sally Hawkins,R ,119
Mayhem,Joe Lynch,2017,2,0.5,No,7.1,Steven Yeun,NR,Runtime Not Available
Mother!,Darren Aronofsky,2017,7,2,No,7.1,Jennifer Lawrence,R ,115
Anna and the Apocalypse,John McPhail,2017,6,2.5,No,7,Ella Hunt,0,107
The Killing of a Sacred Deer,Yorgos Lanthimos,2017,3,0.5,No,7,Nicole Kidman,R ,119
The Mummy,Alex Kurtzman,2017,16,3.5,No,7,Tom Cruise,PG-13,120
A Ghost Story,David Lowery,2017,3,1,No,6.9,Casey Affleck,R ,87
The Endless,"Justin Benson, Aaron Moorhead",2017,7,2.5,No,6.9,Aaron Moorhead,NR,112
Veronica,Paco Plaza,2017,10,3,Yes,6.9,Sandra Escacena,0,105
Stephanie,Akiva Goldsman,2017,18,3,Yes,6.8,Anna Torv,0,0
