Movie Name,Director,Year,Jump Count,Jump Scare Rating,Netflix (US),IMDB Rating,Primary Actor,Movie Rating,Duration
The Little Stranger,Lenny Abrahamson,2018,0,0,No,5.5,#N/A,R,111
Abrakadabra,"Luciano Onetti, Nicolás Onetti",2018,0,0,No,5.4,#N/A,R,69
The Predator,Shane Black,2018,6,1.5,No,5.4,#N/A,R,107
The Haunting,Robert Wise,1963,3,1,No,4.9,Julie Harris,G,113
Winchester,"Michael Spierig, Peter Spierig",2018,17,4,No,5.4,Helen Mirren,PG-13,Runtime Not Available
Seven in Heaven,Chris Eigeman,2018,8,2,Yes,5.3,#N/A,R,94
Starfish,A.T. White,2018,4,1,No,5.3,#N/A,R,101
The Nun,Corin Hardy,2018,21,4.5,No,5.3,#N/A,R,96
The First Purge,Gerard McMurray,2018,8,2.5,No,5.2,Y'lan Noel,R ,Runtime Not Available
The Strangers: Prey at Night,Johannes Roberts,2018,14,3.5,No,5.2,Bailee Madison,R ,Runtime Not Available
Truth or Dare,Jeff Wadlow,2018,7,2,No,5.2,Jessica Cameron,NOT RATED,84
Antrum,"David Amito, Michael Laicini",2018,0,0,No,4.9,#N/A,R,95
Perfect,Eddie Alcazar,2018,0,0,No,4.5,John Travolta,R ,120
Watch If You Dare,"Jill Gevargizian, Andy Stewart, Christopher G. Moore",2018,0,0,No,3.8,#N/A,R,71
The Open House,"Matt Angel, Suzanne Coote",2018,14,3,Yes,3.2,Dylan Minnette,NR,94
Ghostland,Pascal Laugier,2018,21,4,No,0,#N/A,R,91
Malevolent,Olaf de Fleur Johannesson,2018,8,3,Yes,0,Florence Pugh,NR,88
Patient Zero,Stefan Ruzowitzky,2018,6,1.5,No,0,Matt Smith (XI),R ,Runtime Not Available
Wildling,Fritz Böhm,2018,4,1.5,No,0,Liv Tyler,R ,93
1917,Sam Mendes,2019,10,2.5,No,8.3,#N/A,R,119
The Lighthouse,Robert Eggers,2019,4,1,No,7.6,#N/A,R,109
Midsommar,Ari Aster,2019,3,1,No,7.1,#N/A,R,148
Us,Jordan Peele,2019,11,2.5,No,6.9,#N/A,R,116
Ready or Not,"Matt Bettinelli-Olpin, Tyler Gillett",2019,10,3,No,6.8,#N/A,R,95
Zombieland: Double Tap,Ruben Fleischer,2019,2,0.5,No,6.7,#N/A,R,99
It Chapter Two,Andy Muschietti,2019,24,4,No,6.6,#N/A,R,169
Pet Sematary,"Kevin Kölsch, Dennis Widmyer",2019,14,3.5,No,6.6,Dale Midkiff,R ,103
Black Christmas,Bob Clark,1974,4,1.5,No,4.5,Katie Cassidy,R ,84
Countdown,Justin Dec,2019,17,4,No,6.5,James Caan,NR,101
Color Out of Space,Richard Stanley,2019,4,1,No,6.2,#N/A,R,111
Happy Death Day 2U,Christopher Landon,2019,7,2,No,6.2,#N/A,R,100
Scary Stories to Tell in the Dark,André Øvredal,2019,8,3,No,6.2,#N/A,R,108
Brightburn,David Yarovesky,2019,20,3.5,No,6.1,#N/A,R,90
The Perfection,Richard Shepard,2019,1,0.5,Yes,6.1,#N/A,R,90
Annabelle Comes Home,Gary Dauberman,2019,20,4,No,5.9,#N/A,R,106
Child’s Play,Lars Klevberg,2019,16,3,No,5.8,#N/A,R,90
Sweetheart,Justin Dillard,2019,6,1.5,No,5.8,#N/A,R,82
1BR,David Marmor,2019,3,0.5,No,5.7,#N/A,R,90
Eli,Ciarán Foy,2019,13,3.5,Yes,5.7,#N/A,R,98
Velvet Buzzsaw,Dan Gilroy,2019,10,2.5,Yes,5.7,#N/A,R,113
Ma,Tate Taylor,2019,3,1,No,5.6,#N/A,R,99
The Dead Don’t Die,Jim Jarmusch,2019,0,0,No,5.5,#N/A,R,104
In the Tall Grass,Vincenzo Natali,2019,4,1,Yes,5.4,#N/A,R,101
The Curse of La Llorona,Michael Chaves,2019,20,4,No,5.3,#N/A,R,93
After Midnight,"Jeremy Gardner, Christian Stella",2019,6,2.5,No,5.2,#N/A,R,83
Haunt,Scott Beck & Bryan Woods,2019,16,4,No,5.2,Harrison Gilbertson,R ,86
Dark Encounter,Carl Strathie,2019,2,0.5,No,5.1,#N/A,R,97
47 Meters Down: Uncaged,Johannes Roberts,2019,13,3.5,No,5,#N/A,R,90
Aquaslash,Renaud Gauthier,2019,0,0,No,4.9,#N/A,R,71
Death of a Vlogger,Graham Hughes,2019,14,4,No,4.8,#N/A,R,88
Black Christmas,Sophia Takal,2019,8,2.5,No,4.5,Katie Cassidy,R ,84
Girl on the Third Floor,Travis Stevens,2019,5,1,No,4.5,#N/A,R,93
Escape Room,Adam Robitel,2019,4,1.5,No,4.4,Skeet Ulrich,R,86
Sadako,Hideo Nakata,2019,3,0.5,No,4.1,#N/A,R,99
Wounds,Babak Anvari,2019,6,1,Yes,4,#N/A,R,95
The Nightmare Gallery,Gene Blalock,2019,2,0.5,No,3.8,#N/A,R,94
The Hunt,Craig Zobel,2020,4,1,No,8.3,Guillaume Beylard,0,74
The Invisible Man,Leigh Whannell,2020,6,3,No,7.1,Claude Rains,NR,72
The Vast of Night,Andrew Patterson,2020,0,0,No,6.7,#N/A,R,91
Guns Akimbo,Jason Lei Howden,2020,2,1,No,6.3,#N/A,R,98
Daniel Isn’t Real,Adam Egypt Mortimer,2020,6,1.5,No,6,#N/A,R,100
The Lodge,Severin Fiala & Veronika Franz,2020,4,1.5,No,6,#N/A,R,108
The Lovebirds,Michael Showalter,2020,2,0.5,Yes,6,#N/A,R,86
Horse Girl,Jeff Baena,2020,1,0.5,Yes,5.9,#N/A,R,103
Relic,Natalie Erika James,2020,3,0.5,No,5.9,#N/A,R,89
The Grudge,Nicholas Pesce,2020,19,4,No,5.9,Sarah Michelle Gellar,PG-13,91
Underwater,William Eubank,2020,15,4,No,5.8,#N/A,R,95
Vivarium,Lorcan Finnegan,2020,0,0,No,5.8,#N/A,R,97
The Beach House,Jeffrey A. Brown,2020,1,0.5,No,5.4,#N/A,R,88
Gretel & Hansel,Oz Perkins,2020,5,1.5,No,5.3,#N/A,R,87
Fantasy Island,Jeff Wadlow,2020,13,2.5,No,4.9,#N/A,R,109
Brahms: The Boy II,William Brent Bell,2020,11,3,No,4.6,#N/A,R,86
Behind You,Andrew Mecham,2020,8,2.5,No,4.3,#N/A,R,86
Savage Intruder,Donald Wolfe,1970,3,0.5,No,0,#N/A,R,0
Dreamkatcher,Kerry Harris,2020,4,1.5,No,3.8,#N/A,R,85
The Turning,Floria Sigismondi,2020,13,3.5,No,3.8,Cate Blanchett,NR,180
